asset_id,maintenance_log,date
HVAC-01,"Economiser damper intermittent slow to respond, actuator noted and replaced",01/01/2023
HVAC-02,"Economiser damper significant slow to respond, actuator observed and replaced",01/01/2023
HVAC-03,"Refrigerant leak recorded at service valve connection, repair scheduled",01/01/2023
HVAC-03,"Supply air temperature significant inconsistent, mixing box damper adjusted",01/01/2023
HVAC-04,Ductwork damper observed as stuck in partially closed position,01/01/2023
HVAC-05,"Low-pressure cutout recorded repeatedly, refrigerant charge verified",01/01/2023
HVAC-06,"BMS communication timeout observed on unit, manual override applied",01/01/2023
HVAC-06,Control sequence fault noted during changeover between heating and cooling,01/01/2023
HVAC-07,Control sequence fault recorded during changeover between heating and cooling,01/01/2023
HVAC-07,"Outside air damper reported not fully closing, weather seal replaced",01/01/2023
HVAC-07,"Static pressure reading elevated outside normal range, ductwork inspected",01/01/2023
HVAC-08,"Terminal block intermittent corrosion reported, connections cleaned and tightened",01/01/2023
HVAC-08,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",01/01/2023
HVAC-02,"Anti-freeze thermostat setpoint reported as incorrectly set, corrected",02/01/2023
HVAC-02,"Vibration isolation mounts significant deteriorated, unit noted as unstable",02/01/2023
HVAC-03,"BMS communication timeout detected on unit, manual override applied",02/01/2023
HVAC-04,Manual reset required after high-limit thermostat trip,02/01/2023
HVAC-04,"Refrigerant pressure readings outside specification, system checked",02/01/2023
HVAC-04,"Suction line frost recorded at expansion valve, TXV adjustment required",02/01/2023
HVAC-05,"Overload relay tripped, motor current draw noted as elevated",02/01/2023
HVAC-06,"Runtime hours counter intermittent mismatched with physical log, corrected",02/01/2023
HVAC-06,"Terminal block intermittent corrosion detected, connections cleaned and tightened",02/01/2023
HVAC-07,"Supply air temperature minor inconsistent, mixing box damper adjusted",02/01/2023
HVAC-08,"Overload relay tripped, motor current draw noted as elevated",02/01/2023
HVAC-08,"Fan blade imbalance detected, vibration levels measured and recorded",02/01/2023
HVAC-08,"Compressor short-cycling noted, pressure switch inspected",02/01/2023
HVAC-02,"Condenser fan motor intermittent noisy, bearing wear recorded",03/01/2023
HVAC-02,"Evaporator coil frosting over, defrost cycle initiated",03/01/2023
HVAC-03,"Compressor short-cycling observed, pressure switch inspected",03/01/2023
HVAC-03,"Terminal block intermittent corrosion recorded, connections cleaned and tightened",03/01/2023
HVAC-03,"Head pressure significant elevated, condenser fan speed checked",03/01/2023
HVAC-04,"Refrigerant leak detected at service valve connection, repair scheduled",03/01/2023
HVAC-05,"Evaporator coil frosting over, defrost cycle initiated",03/01/2023
HVAC-05,"Wiring insulation significant deteriorated at junction box, rewired",03/01/2023
HVAC-07,"High-pressure safety cutout triggered — unit shutdown, noted",03/01/2023
HVAC-07,Noise complaint from supply diffuser — turbulence reported,03/01/2023
HVAC-07,"Refrigerant pressure readings outside specification, system checked",03/01/2023
HVAC-02,"Capacitor showing signs of intermittent aging, voltage readings below specification",04/01/2023
