asset_id,maintenance_log,date
HVAC-01,"Economiser damper elevated slow to respond, actuator detected and replaced",01/01/2024
HVAC-01,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",01/01/2024
HVAC-03,"Setpoint drift detected on zone controller overnight, investigated",01/01/2024
HVAC-04,"Refrigerant pressure readings outside specification, system checked",01/01/2024
HVAC-05,"Blower wheel fouled with debris, intermittent buildup observed and cleaned",01/01/2024
HVAC-07,"Refrigerant leak noted at service valve connection, repair scheduled",01/01/2024
HVAC-07,"Control transformer output voltage elevated low, unit inspected",01/01/2024
HVAC-07,"Fan blade imbalance recorded, vibration levels measured and recorded",01/01/2024
HVAC-07,"Condenser coil heavily fouled with debris, cleaning detected as required",01/01/2024
HVAC-08,"BACnet network interruption recorded, gateway settings reviewed",01/01/2024
HVAC-01,Manual reset required after high-limit thermostat trip,02/01/2024
HVAC-02,Control sequence fault noted during changeover between heating and cooling,02/01/2024
HVAC-02,"Condensate drain overflowing, float switch reported and replaced",02/01/2024
HVAC-03,"Condensate drain overflowing, float switch detected and replaced",02/01/2024
HVAC-04,Thermostat setpoint not being maintained — sensor drift detected and suspected,02/01/2024
HVAC-06,"Runtime hours counter persistent mismatched with physical log, corrected",02/01/2024
HVAC-06,"Refrigerant charge low — technician recorded low refrigerant level, top-up performed",02/01/2024
HVAC-06,"Capacitor showing signs of elevated aging, voltage readings below specification",02/01/2024
HVAC-06,"Suction line frost noted at expansion valve, TXV adjustment required",02/01/2024
HVAC-06,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",02/01/2024
HVAC-08,"Contactor contacts pitted and worn, replacement recorded and scheduled",02/01/2024
HVAC-08,"Static pressure reading intermittent outside normal range, ductwork inspected",02/01/2024
HVAC-01,"Terminal block elevated corrosion recorded, connections cleaned and tightened",03/01/2024
HVAC-02,"Suction line frost reported at expansion valve, TXV adjustment required",03/01/2024
HVAC-03,"High-pressure safety cutout triggered — unit shutdown, observed",03/01/2024
HVAC-03,"Runtime hours counter elevated mismatched with physical log, corrected",03/01/2024
HVAC-03,Thermostat setpoint not being maintained — sensor drift reported and suspected,03/01/2024
HVAC-03,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",03/01/2024
HVAC-03,"Outside air damper observed not fully closing, weather seal replaced",03/01/2024
HVAC-04,"Terminal block intermittent corrosion recorded, connections cleaned and tightened",03/01/2024
HVAC-04,"Condensate drain overflowing, float switch recorded and replaced",03/01/2024
HVAC-06,Compressor discharge temperature significant above normal operating range,03/01/2024
HVAC-07,"BACnet network interruption reported, gateway settings reviewed",03/01/2024
HVAC-07,"Occupancy sensor not triggering correctly, wiring fault detected",03/01/2024
HVAC-07,"Refrigerant leak reported at service valve connection, repair scheduled",03/01/2024
HVAC-08,Electrical panel voltage fluctuation recorded during peak load,03/01/2024
HVAC-08,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",03/01/2024
HVAC-03,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",04/01/2024
HVAC-04,"Condensate drain overflowing, float switch detected and replaced",04/01/2024
HVAC-04,"Refrigerant leak observed at service valve connection, repair scheduled",04/01/2024
HVAC-05,"Voltage imbalance intermittent across phases, supply quality checked",04/01/2024
HVAC-05,"Duct leakage noted at flex connector joints, sealed with mastic",04/01/2024
HVAC-06,Electrical panel voltage fluctuation recorded during peak load,04/01/2024
HVAC-07,"DDC controller reboot recorded, settings verified after restart",04/01/2024
HVAC-07,"Economiser damper intermittent slow to respond, actuator recorded and replaced",04/01/2024
HVAC-07,"Compressor suction pressure significant lower than expected, possible refrigerant leak detected",04/01/2024
HVAC-01,"BACnet network interruption observed, gateway settings reviewed",05/01/2024
HVAC-01,"Condenser fan motor significant noisy, bearing wear recorded",05/01/2024
HVAC-02,"Alarms suppressed by contractor without authorisation, observed",05/01/2024
HVAC-02,Compressor discharge temperature persistent above normal operating range,05/01/2024
HVAC-03,"Blower wheel fouled with debris, elevated buildup detected and cleaned",05/01/2024
HVAC-03,"Condensate drain overflowing, float switch recorded and replaced",05/01/2024
HVAC-03,"Smoke detector in AHU compartment activated, area inspected",05/01/2024
HVAC-03,"Contactor contacts pitted and worn, replacement detected and scheduled",05/01/2024
HVAC-03,"Outside air damper detected not fully closing, weather seal replaced",05/01/2024
HVAC-03,"Static pressure reading minor outside normal range, ductwork inspected",05/01/2024
HVAC-06,"Supply air temperature significant inconsistent, mixing box damper adjusted",05/01/2024
HVAC-06,"Earth leakage detected on compressor motor circuit, insulation tested",05/01/2024
HVAC-06,"Setpoint drift recorded on zone controller overnight, investigated",05/01/2024
HVAC-07,"Control board fault code F63 noted, reset performed",05/01/2024
HVAC-08,"Terminal block minor corrosion noted, connections cleaned and tightened",05/01/2024
HVAC-08,Noise complaint from supply diffuser — turbulence noted,05/01/2024
HVAC-01,"Runtime hours counter persistent mismatched with physical log, corrected",06/01/2024
HVAC-01,"Condenser fan motor persistent noisy, bearing wear observed",06/01/2024
HVAC-02,"Condenser coil heavily fouled with debris, cleaning recorded as required",06/01/2024
HVAC-02,Noise complaint from supply diffuser — turbulence detected,06/01/2024
HVAC-02,"Compressor suction pressure persistent lower than expected, possible refrigerant leak noted",06/01/2024
HVAC-03,"Outside air damper reported not fully closing, weather seal replaced",06/01/2024
HVAC-03,"Fire damper failed functional test, maintenance team noted and notified",06/01/2024
HVAC-05,"Voltage imbalance significant across phases, supply quality checked",06/01/2024
HVAC-07,Refrigerant leak detector alarm observed in plant room,06/01/2024
HVAC-07,"Supply air temperature minor inconsistent, mixing box damper adjusted",06/01/2024
HVAC-07,"Suction line frost observed at expansion valve, TXV adjustment required",06/01/2024
HVAC-01,"Refrigerant charge low — technician reported low refrigerant level, top-up performed",07/01/2024
HVAC-01,"Supply fan belt significant worn, replacement noted and scheduled",07/01/2024
HVAC-02,"Condenser fan motor intermittent noisy, bearing wear recorded",07/01/2024
HVAC-03,"Contactor contacts pitted and worn, replacement detected and scheduled",07/01/2024
HVAC-03,"DDC controller reboot recorded, settings verified after restart",07/01/2024
HVAC-04,"Outside air damper recorded not fully closing, weather seal replaced",07/01/2024
HVAC-05,"Control board fault code F94 noted, reset performed",07/01/2024
HVAC-06,"Control transformer output voltage significant low, unit inspected",07/01/2024
HVAC-06,"Head pressure elevated elevated, condenser fan speed checked",07/01/2024
HVAC-07,Refrigerant leak detector alarm detected in plant room,07/01/2024
HVAC-01,"Return air temperature intermittent higher than setpoint, airflow restricted",08/01/2024
HVAC-02,"Occupancy sensor not triggering correctly, wiring fault recorded",08/01/2024
HVAC-02,"Fire damper failed functional test, maintenance team observed and notified",08/01/2024
HVAC-02,"Demand-controlled ventilation not responding to CO2 signal, noted",08/01/2024
HVAC-02,"Supply air temperature intermittent inconsistent, mixing box damper adjusted",08/01/2024
HVAC-03,"Blower wheel fouled with debris, intermittent buildup noted and cleaned",08/01/2024
HVAC-03,Electrical panel voltage fluctuation observed during peak load,08/01/2024
HVAC-04,Refrigerant leak detector alarm recorded in plant room,08/01/2024
HVAC-05,Ductwork damper noted as stuck in partially closed position,08/01/2024
HVAC-06,"Control board fault code F89 observed, reset performed",08/01/2024
HVAC-07,"Head pressure intermittent elevated, condenser fan speed checked",08/01/2024
HVAC-07,"Wiring insulation persistent deteriorated at junction box, rewired",08/01/2024
HVAC-07,Air filter pressure drop persistent above recommended threshold,08/01/2024
HVAC-08,"Liquid line sight glass showing bubbles, low refrigerant charge suspected",08/01/2024
HVAC-08,"Motor run capacitor significant degraded, replaced during inspection",08/01/2024
HVAC-01,"Evaporator coil frosting over, defrost cycle initiated",09/01/2024
HVAC-02,Manual reset required after high-limit thermostat trip,09/01/2024
HVAC-02,"Overload relay tripped, motor current draw reported as elevated",09/01/2024
HVAC-02,"Suction line frost observed at expansion valve, TXV adjustment required",09/01/2024
HVAC-03,"Compressor short-cycling reported, pressure switch inspected",09/01/2024
HVAC-03,"Earth leakage detected on compressor motor circuit, insulation tested",09/01/2024
HVAC-03,"Refrigerant pressure readings outside specification, system checked",09/01/2024
HVAC-03,"Outside air damper recorded not fully closing, weather seal replaced",09/01/2024
HVAC-05,"Fuse blown on control circuit, root cause reported and investigated",09/01/2024
HVAC-07,"Head pressure intermittent elevated, condenser fan speed checked",09/01/2024
HVAC-07,"Compressor short-cycling detected, pressure switch inspected",09/01/2024
HVAC-07,"Runtime hours counter significant mismatched with physical log, corrected",09/01/2024
HVAC-08,"Runtime hours counter persistent mismatched with physical log, corrected",09/01/2024
HVAC-08,Compressor discharge temperature elevated above normal operating range,09/01/2024
HVAC-01,"Refrigerant charge low — technician reported low refrigerant level, top-up performed",10/01/2024
HVAC-02,"Economiser damper significant slow to respond, actuator observed and replaced",10/01/2024
HVAC-02,"Fan blade imbalance observed, vibration levels measured and recorded",10/01/2024
HVAC-03,"Motor run capacitor persistent degraded, replaced during inspection",10/01/2024
HVAC-03,"Setpoint drift detected on zone controller overnight, investigated",10/01/2024
HVAC-04,"Control transformer output voltage significant low, unit inspected",10/01/2024
HVAC-05,"Motor run capacitor intermittent degraded, replaced during inspection",10/01/2024
HVAC-05,"Suction line frost observed at expansion valve, TXV adjustment required",10/01/2024
HVAC-06,Ductwork damper detected as stuck in partially closed position,10/01/2024
HVAC-06,"Suction line frost recorded at expansion valve, TXV adjustment required",10/01/2024
HVAC-06,"Outside air damper noted not fully closing, weather seal replaced",10/01/2024
HVAC-07,"DDC controller reboot reported, settings verified after restart",10/01/2024
HVAC-07,"Supply fan belt elevated worn, replacement reported and scheduled",10/01/2024
HVAC-07,Refrigerant leak detector alarm reported in plant room,10/01/2024
HVAC-01,"Fuse blown on control circuit, root cause detected and investigated",11/01/2024
HVAC-01,"Runtime hours counter minor mismatched with physical log, corrected",11/01/2024
HVAC-01,Noise complaint from supply diffuser — turbulence recorded,11/01/2024
HVAC-03,"Capacitor showing signs of minor aging, voltage readings below specification",11/01/2024
HVAC-04,Control sequence fault noted during changeover between heating and cooling,11/01/2024
HVAC-05,"Setpoint drift recorded on zone controller overnight, investigated",11/01/2024
HVAC-06,Noise complaint from supply diffuser — turbulence reported,11/01/2024
HVAC-06,"Overload relay tripped, motor current draw recorded as elevated",11/01/2024
HVAC-07,"Runtime hours counter intermittent mismatched with physical log, corrected",11/01/2024
HVAC-08,"Capacitor showing signs of intermittent aging, voltage readings below specification",11/01/2024
HVAC-01,"Condenser fan motor intermittent noisy, bearing wear recorded",12/01/2024
HVAC-03,"Fan blade imbalance detected, vibration levels measured and recorded",12/01/2024
HVAC-03,"Refrigerant charge low — technician detected low refrigerant level, top-up performed",12/01/2024
HVAC-03,"Duct leakage reported at flex connector joints, sealed with mastic",12/01/2024
HVAC-03,"Compressor short-cycling reported, pressure switch inspected",12/01/2024
HVAC-04,"Condensate drain overflowing, float switch reported and replaced",12/01/2024
HVAC-04,Electrical panel voltage fluctuation detected during peak load,12/01/2024
HVAC-04,Compressor discharge temperature minor above normal operating range,12/01/2024
HVAC-07,Electrical panel voltage fluctuation reported during peak load,12/01/2024
HVAC-07,"Terminal block significant corrosion detected, connections cleaned and tightened",12/01/2024
HVAC-07,"Control board fault code F18 observed, reset performed",12/01/2024
HVAC-08,"Duct leakage noted at flex connector joints, sealed with mastic",12/01/2024
HVAC-08,"High-pressure safety cutout triggered — unit shutdown, detected",12/01/2024
HVAC-01,"Duct leakage reported at flex connector joints, sealed with mastic",13/01/2024
HVAC-02,"Fan blade imbalance reported, vibration levels measured and recorded",13/01/2024
HVAC-05,"Static pressure reading intermittent outside normal range, ductwork inspected",13/01/2024
HVAC-05,"Condenser fan motor elevated noisy, bearing wear recorded",13/01/2024
HVAC-05,"Vibration isolation mounts significant deteriorated, unit reported as unstable",13/01/2024
HVAC-05,Air filter pressure drop persistent above recommended threshold,13/01/2024
HVAC-05,"Suction line frost observed at expansion valve, TXV adjustment required",13/01/2024
HVAC-06,"Compressor short-cycling detected, pressure switch inspected",13/01/2024
HVAC-06,"Fuse blown on control circuit, root cause noted and investigated",13/01/2024
HVAC-07,"Contactor contacts pitted and worn, replacement observed and scheduled",13/01/2024
HVAC-07,"Voltage imbalance intermittent across phases, supply quality checked",13/01/2024
HVAC-07,"Fan blade imbalance noted, vibration levels measured and recorded",13/01/2024
HVAC-07,"Compressor short-cycling noted, pressure switch inspected",13/01/2024
HVAC-08,"Compressor short-cycling reported, pressure switch inspected",13/01/2024
HVAC-01,"Refrigerant pressure readings outside specification, system checked",14/01/2024
HVAC-01,"Setpoint drift recorded on zone controller overnight, investigated",14/01/2024
HVAC-05,"Compressor short-cycling reported, pressure switch inspected",14/01/2024
