asset_id,event_code,date
ASS-001,Gearbox oil level low,01/01/2023
ASS-001,Belt tracking deviation detected,01/01/2023
ASS-001,Filter replacement required,01/01/2023
ASS-001,SCADA connection lost,01/01/2023
ASS-002,Inspection overdue,01/01/2023
ASS-003,Motor phase imbalance alarm,01/01/2023
ASS-003,PLC communication error,01/01/2023
ASS-003,Barcode reader timeout,01/01/2023
ASS-004,Motor phase imbalance alarm,01/01/2023
ASS-004,Weight sensor out of range,01/01/2023
ASS-005,Vision sensor calibration error,01/01/2023
ASS-005,SCADA connection lost,01/01/2023
ASS-007,Inspection overdue,01/01/2023
ASS-007,Inspection overdue,01/01/2023
ASS-008,Network switch port failure,01/01/2023
ASS-008,Barcode reader timeout,01/01/2023
ASS-010,Bearing vibration elevated,01/01/2023
ASS-011,Belt slip detected,01/01/2023
ASS-011,Inspection overdue,01/01/2023
ASS-011,Overload protection triggered,01/01/2023
ASS-011,Oil level low,01/01/2023
ASS-012,Belt slip detected,01/01/2023
ASS-012,Belt tracking deviation detected,01/01/2023
ASS-012,Photoelectric sensor fault,01/01/2023
ASS-001,Zone collision warning,02/01/2023
ASS-002,PLC communication error,02/01/2023
ASS-003,Wear indicator triggered,02/01/2023
ASS-003,Overload protection triggered,02/01/2023
ASS-004,Zone collision warning,02/01/2023
ASS-005,Weight sensor out of range,02/01/2023
ASS-005,Drive inverter alarm,02/01/2023
ASS-005,Filter replacement required,02/01/2023
ASS-006,Motor phase imbalance alarm,02/01/2023
ASS-006,Photoelectric sensor fault,02/01/2023
ASS-007,Light curtain interrupted,02/01/2023
ASS-007,HMI touchscreen unresponsive,02/01/2023
ASS-007,Light curtain interrupted,02/01/2023
ASS-007,Vision sensor calibration error,02/01/2023
ASS-007,PLC communication error,02/01/2023
ASS-008,Drive inverter alarm,02/01/2023
ASS-010,Bearing vibration elevated,02/01/2023
ASS-010,Coupling vibration high,02/01/2023
ASS-011,Motor phase imbalance alarm,02/01/2023
ASS-011,Gearbox oil level low,02/01/2023
ASS-011,Oil level low,02/01/2023
ASS-012,Bearing vibration elevated,02/01/2023
ASS-012,PLC communication error,02/01/2023
ASS-012,Safety relay fault,02/01/2023
ASS-012,Bearing vibration elevated,02/01/2023
ASS-001,Coupling vibration high,03/01/2023
ASS-002,Vision sensor calibration error,03/01/2023
ASS-002,Proximity sensor failure,03/01/2023
ASS-002,Belt slip detected,03/01/2023
ASS-003,Vision sensor calibration error,03/01/2023
ASS-003,Network switch port failure,03/01/2023
ASS-003,Weight sensor out of range,03/01/2023
ASS-004,Motor phase imbalance alarm,03/01/2023
ASS-004,Motor phase imbalance alarm,03/01/2023
ASS-004,Motor overtemperature fault,03/01/2023
ASS-005,Motor phase imbalance alarm,03/01/2023
ASS-005,Bearing vibration elevated,03/01/2023
ASS-006,Vision sensor calibration error,03/01/2023
ASS-007,Parameter checksum mismatch,03/01/2023
ASS-007,Parameter checksum mismatch,03/01/2023
ASS-007,PLC communication error,03/01/2023
ASS-007,Drive inverter alarm,03/01/2023
ASS-007,Scheduled lubrication due,03/01/2023
ASS-007,Photoelectric sensor fault,03/01/2023
ASS-008,SCADA connection lost,03/01/2023
ASS-009,Vision sensor calibration error,03/01/2023
ASS-010,Network switch port failure,03/01/2023
ASS-010,Proximity sensor failure,03/01/2023
ASS-011,Oil level low,03/01/2023
ASS-011,Filter replacement required,03/01/2023
ASS-011,Coupling vibration high,03/01/2023
ASS-012,Drive inverter alarm,03/01/2023
ASS-012,Bearing vibration elevated,03/01/2023
ASS-012,Bearing vibration elevated,03/01/2023
ASS-012,Parameter checksum mismatch,03/01/2023
