asset_id,event_code,date
ASS-001,Drive inverter alarm,01/01/2024
ASS-001,Barcode reader timeout,01/01/2024
ASS-002,Barcode reader timeout,01/01/2024
ASS-002,Motor phase imbalance alarm,01/01/2024
ASS-003,Safety relay fault,01/01/2024
ASS-003,Scheduled lubrication due,01/01/2024
ASS-005,Motor phase imbalance alarm,01/01/2024
ASS-005,Gearbox oil level low,01/01/2024
ASS-005,Motor phase imbalance alarm,01/01/2024
ASS-006,RFID tag not detected,01/01/2024
ASS-006,Parameter checksum mismatch,01/01/2024
ASS-006,Light curtain interrupted,01/01/2024
ASS-007,Coupling vibration high,01/01/2024
ASS-007,Barcode reader timeout,01/01/2024
ASS-007,Bearing vibration elevated,01/01/2024
ASS-007,HMI touchscreen unresponsive,01/01/2024
ASS-008,RFID tag not detected,01/01/2024
ASS-009,Parameter checksum mismatch,01/01/2024
ASS-009,Inspection overdue,01/01/2024
ASS-009,Weight sensor out of range,01/01/2024
ASS-009,Zone collision warning,01/01/2024
ASS-010,Gearbox oil level low,01/01/2024
ASS-010,SCADA connection lost,01/01/2024
ASS-010,Belt slip detected,01/01/2024
ASS-011,SCADA connection lost,01/01/2024
ASS-011,Photoelectric sensor fault,01/01/2024
ASS-011,Proximity sensor failure,01/01/2024
ASS-012,Motor overtemperature fault,01/01/2024
ASS-001,Inspection overdue,02/01/2024
ASS-001,Zone collision warning,02/01/2024
ASS-003,RFID tag not detected,02/01/2024
ASS-003,Watchdog timer expired,02/01/2024
ASS-003,SCADA connection lost,02/01/2024
ASS-003,Belt tracking deviation detected,02/01/2024
ASS-003,Belt tracking deviation detected,02/01/2024
ASS-004,Light curtain interrupted,02/01/2024
ASS-004,Proximity sensor failure,02/01/2024
ASS-005,HMI touchscreen unresponsive,02/01/2024
ASS-006,Watchdog timer expired,02/01/2024
ASS-006,Drive inverter alarm,02/01/2024
ASS-007,Drive inverter alarm,02/01/2024
ASS-007,PLC communication error,02/01/2024
ASS-007,Watchdog timer expired,02/01/2024
ASS-007,Drive inverter alarm,02/01/2024
ASS-008,Belt slip detected,02/01/2024
ASS-008,Gearbox oil level low,02/01/2024
ASS-010,Gearbox oil level low,02/01/2024
ASS-010,Motor phase imbalance alarm,02/01/2024
ASS-010,Coupling vibration high,02/01/2024
ASS-010,Vision sensor calibration error,02/01/2024
ASS-011,Drive inverter alarm,02/01/2024
ASS-011,PLC communication error,02/01/2024
ASS-011,Belt slip detected,02/01/2024
ASS-011,Belt tracking deviation detected,02/01/2024
ASS-011,PLC communication error,02/01/2024
ASS-012,Wear indicator triggered,02/01/2024
ASS-012,Light curtain interrupted,02/01/2024
ASS-002,RFID tag not detected,03/01/2024
ASS-002,Weight sensor out of range,03/01/2024
ASS-002,Motor phase imbalance alarm,03/01/2024
ASS-003,Scheduled lubrication due,03/01/2024
ASS-003,SCADA connection lost,03/01/2024
